BaseName,Tag,Original_Value,Converted_Value,Change_Status
"ares da terra","XMP-xmpMM:HistoryParameters","","converted to PDF/A-2u","Added in converted"
"ares da terra","XMP-xmpMM:HistorySoftwareAgent","","Preflight","Added in converted"
"ares da terra","XMP-xmpMM:HistoryWhen","","2026:02:05 11:59:00-05:00","Added in converted"
"ares da terra","XMP-xmpMM:InstanceID","","uuid:e6ff2977-bb7c-44be-9a67-35601e6d64da","Added in converted"
"ares da terra","XMP-xmpMM:RenditionClass","","default","Added in converted"
"ares da terra","XMP-xmpMM:VersionID","","1","Added in converted"
"ares da terra","ZIP:ZipBitFlag","0x0006","","Removed from original"
"ares da terra","ZIP:ZipCRC","0x3795fcdd","","Removed from original"
"ares da terra","ZIP:ZipCompressedSize","358","","Removed from original"
"ares da terra","ZIP:ZipCompression","Deflated","","Removed from original"
"ares da terra","ZIP:ZipFileName","[Content_Types].xml","","Removed from original"
"ares da terra","ZIP:ZipModifyDate","1980:01:01 00:00:00","","Removed from original"
"ares da terra","ZIP:ZipRequiredVersion","20","","Removed from original"
"ares da terra","ZIP:ZipUncompressedSize","1312","","Removed from original"
"ares da terra","ï»¿SourceFile","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC/ares da terra.docx","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC/ares da terra.pdf","Modified"
"ARRABALDE","ExifTool:ExifToolVersion","13.4","13.4","Unchanged"
"ARRABALDE","File:FileType","DOC","PDF","Modified"
"ARRABALDE","File:FileTypeExtension","doc","pdf","Modified"
"ARRABALDE","File:MIMEType","application/msword","application/pdf","Modified"
"ARRABALDE","FlashPix:AppVersion","11.5606","","Removed from original"
"ARRABALDE","FlashPix:Author","marcelo mirisola","","Removed from original"
"ARRABALDE","FlashPix:CharCountWithSpaces","33916","","Removed from original"
"ARRABALDE","FlashPix:Characters","28674","","Removed from original"
"ARRABALDE","FlashPix:CodePage","Windows Latin 1 (Western European)","","Removed from original"
"ARRABALDE","FlashPix:Comments","","","Modified"
"ARRABALDE","FlashPix:CompObjUserType","Documento do Microsoft Office Word","","Removed from original"
"ARRABALDE","FlashPix:CompObjUserTypeLen","35","","Removed from original"
"ARRABALDE","FlashPix:Company","","","Modified"
"ARRABALDE","FlashPix:CreateDate","2007:09:05 11:52:00","","Removed from original"
"ARRABALDE","FlashPix:DocFlags","1Table, ExtChar","","Removed from original"
"ARRABALDE","FlashPix:HeadingPairs","TâÂ¡tulo, 1","","Removed from original"
"ARRABALDE","FlashPix:HyperlinksChanged","No","","Removed from original"
"ARRABALDE","FlashPix:Identification","Word 8.0","","Removed from original"
"ARRABALDE","FlashPix:Keywords","","","Modified"
"ARRABALDE","FlashPix:LanguageCode","Portuguese (Brazilian)","","Removed from original"
"ARRABALDE","FlashPix:LastModifiedBy","Marcelo","","Removed from original"
"ARRABALDE","FlashPix:Lines","238","","Removed from original"
"ARRABALDE","FlashPix:LinksUpToDate","No","","Removed from original"
"ARRABALDE","FlashPix:ModifyDate","2010:11:16 15:43:00","","Removed from original"
"ARRABALDE","FlashPix:Pages","1","","Removed from original"
"ARRABALDE","FlashPix:Paragraphs","67","","Removed from original"
"ARRABALDE","FlashPix:RevisionNumber","6","","Removed from original"
"ARRABALDE","FlashPix:ScaleCrop","No","","Removed from original"
"ARRABALDE","FlashPix:Security","","","Modified"
"ARRABALDE","FlashPix:SharedDoc","No","","Removed from original"
"ARRABALDE","FlashPix:Software","Microsoft Office Word","","Removed from original"
"ARRABALDE","FlashPix:Subject","","","Modified"
"ARRABALDE","FlashPix:System","Windows","","Removed from original"
"ARRABALDE","FlashPix:Template","Normal","","Removed from original"
"ARRABALDE","FlashPix:Title","                                                  ARRABALDE, TâÃ¼ LIGADO ","","Removed from original"
"ARRABALDE","FlashPix:TitleOfParts","                                                  ARRABALDE, TâÃ¼ LIGADO ","","Removed from original"
"ARRABALDE","FlashPix:TotalEditTime","19.0 minutes","","Removed from original"
"ARRABALDE","FlashPix:Word97","No","","Removed from original"
"ARRABALDE","FlashPix:Words","5309","","Removed from original"
"ARRABALDE","MS-DOC:Characters","28674","","Removed from original"
"ARRABALDE","MS-DOC:CreateDate","2007:09:05 09:52:00","","Removed from original"
"ARRABALDE","MS-DOC:LastPrinted","0000:00:00 00:00:00","","Removed from original"
"ARRABALDE","MS-DOC:Lines","238","","Removed from original"
"ARRABALDE","MS-DOC:ModifyDate","2010:11:16 15:43:27","","Removed from original"
"ARRABALDE","MS-DOC:Pages","1","","Removed from original"
"ARRABALDE","MS-DOC:Paragraphs","67","","Removed from original"
"ARRABALDE","MS-DOC:RevisionNumber","6","","Removed from original"
"ARRABALDE","MS-DOC:TotalEditTime","19 minutes","","Removed from original"
"ARRABALDE","MS-DOC:Words","5309","","Removed from original"
"ARRABALDE","PDF:Author","","marcelo mirisola","Added in converted"
"ARRABALDE","PDF:CreateDate","","2026:02:05 11:59:05-05:00","Added in converted"
"ARRABALDE","PDF:Creator","","Acrobat PDFMaker 25 for Word","Added in converted"
"ARRABALDE","PDF:Linearized","","Yes","Added in converted"
"ARRABALDE","PDF:ModifyDate","","2026:02:05 11:59:16-05:00","Added in converted"
"ARRABALDE","PDF:PDFVersion","","1.6","Added in converted"
"ARRABALDE","PDF:PageCount","","14","Added in converted"
"ARRABALDE","PDF:PageLayout","","OneColumn","Added in converted"
"ARRABALDE","PDF:Producer","","Adobe PDF Library 25.1.159","Added in converted"
"ARRABALDE","PDF:Subject","","","Modified"
"ARRABALDE","PDF:TaggedPDF","","Yes","Added in converted"
"ARRABALDE","PDF:Title","","                                                  ARRABALDE, TâÃ¼ LIGADO ","Added in converted"
"ARRABALDE","System:Directory","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC","Unchanged"
"ARRABALDE","System:FileAccessDate","2026:02:05 12:31:47-05:00","2026:02:05 12:31:47-05:00","Unchanged"
"ARRABALDE","System:FileCreateDate","2026:02:05 11:57:56-05:00","2026:02:05 11:59:15-05:00","Modified"
"ARRABALDE","System:FileModifyDate","2010:11:16 12:43:28-05:00","2026:02:05 11:59:16-05:00","Modified"
"ARRABALDE","System:FileName","ARRABALDE.doc","ARRABALDE.pdf","Modified"
"ARRABALDE","System:FilePermissions","-rw-rw-rw-","-rw-rw-rw-","Unchanged"
"ARRABALDE","System:FileSize","83 kB","645 kB","Modified"
"ARRABALDE","XMP-dc:Creator","","marcelo mirisola","Added in converted"
"ARRABALDE","XMP-dc:Description","","","Modified"
"ARRABALDE","XMP-dc:Format","","application/pdf","Added in converted"
"ARRABALDE","XMP-dc:Title","","                                                  ARRABALDE, TâÃ¼ LIGADO ","Added in converted"
"ARRABALDE","XMP-pdf:Keywords","","","Modified"
"ARRABALDE","XMP-pdf:Producer","","Adobe PDF Library 25.1.159","Added in converted"
"ARRABALDE","XMP-pdfaExtension:SchemasNamespaceURI","","http://ns.adobe.com/xap/1.0/mm/","Added in converted"
"ARRABALDE","XMP-pdfaExtension:SchemasPrefix","","xmpMM","Added in converted"
"ARRABALDE","XMP-pdfaExtension:SchemasPropertyCategory","","internal","Added in converted"
"ARRABALDE","XMP-pdfaExtension:SchemasPropertyDescription","","UUID based identifier for specific incarnation of a document","Added in converted"
"ARRABALDE","XMP-pdfaExtension:SchemasPropertyName","","InstanceID","Added in converted"
"ARRABALDE","XMP-pdfaExtension:SchemasPropertyValueType","","URI","Added in converted"
"ARRABALDE","XMP-pdfaExtension:SchemasSchema","","XMP Media Management Schema","Added in converted"
"ARRABALDE","XMP-pdfaid:Conformance","","U","Added in converted"
"ARRABALDE","XMP-pdfaid:Part","","2","Added in converted"
"ARRABALDE","XMP-x:XMPToolkit","","Adobe XMP Core 9.1-c001 79.675d0f7, 2023/06/11-19:21:16        ","Added in converted"
"ARRABALDE","XMP-xmp:CreateDate","","2026:02:05 11:59:05-05:00","Added in converted"
"ARRABALDE","XMP-xmp:CreatorTool","","Acrobat PDFMaker 25 for Word","Added in converted"
"ARRABALDE","XMP-xmp:MetadataDate","","2026:02:05 11:59:16-05:00","Added in converted"
"ARRABALDE","XMP-xmp:ModifyDate","","2026:02:05 11:59:16-05:00","Added in converted"
"ARRABALDE","XMP-xmpMM:DocumentID","","uuid:42da9e34-a3b6-49e5-a1ca-6e9f123cd8b5","Added in converted"
"ARRABALDE","XMP-xmpMM:HistoryAction","","converted","Added in converted"
"ARRABALDE","XMP-xmpMM:HistoryInstanceID","","uuid:0a9cbfc9-ccff-4a29-9f88-7727a2de7245","Added in converted"
"ARRABALDE","XMP-xmpMM:HistoryParameters","","converted to PDF/A-2u","Added in converted"
"ARRABALDE","XMP-xmpMM:HistorySoftwareAgent","","Preflight","Added in converted"
"ARRABALDE","XMP-xmpMM:HistoryWhen","","2026:02:05 11:59:16-05:00","Added in converted"
"ARRABALDE","XMP-xmpMM:InstanceID","","uuid:1f0eafde-2326-4a52-a47f-c104a5c8c22d","Added in converted"
"ARRABALDE","XMP-xmpMM:RenditionClass","","default","Added in converted"
"ARRABALDE","XMP-xmpMM:VersionID","","1","Added in converted"
"ARRABALDE","ï»¿SourceFile","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC/ARRABALDE.doc","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC/ARRABALDE.pdf","Modified"
"Bola de Crista1","ExifTool:ExifToolVersion","13.4","13.4","Unchanged"
"Bola de Crista1","File:FileType","DOC","PDF","Modified"
"Bola de Crista1","File:FileTypeExtension","doc","pdf","Modified"
"Bola de Crista1","File:MIMEType","application/msword","application/pdf","Modified"
"Bola de Crista1","FlashPix:AppVersion","11.5606","","Removed from original"
