BaseName,Tag,Original_Value,Converted_Value,Change_Status
"(A2u Cloud) Chinese","XMP-x:XMPToolkit","","Adobe XMP Core 9.1-c001 79.675d0f7, 2023/06/11-19:21:16        ","Added in converted"
"(A2u Cloud) Chinese","XMP-xmp:CreateDate","","2026:02:26 16:15:37-05:00","Added in converted"
"(A2u Cloud) Chinese","XMP-xmp:CreatorTool","","Acrobat PDFMaker 25 for Word","Added in converted"
"(A2u Cloud) Chinese","XMP-xmp:MetadataDate","","2026:02:26 16:16:40-05:00","Added in converted"
"(A2u Cloud) Chinese","XMP-xmp:ModifyDate","","2026:02:26 16:16:40-05:00","Added in converted"
"(A2u Cloud) Chinese","XMP-xmpMM:DocumentID","","uuid:e9803496-bef6-4537-bf0d-eb5038e4f226","Added in converted"
"(A2u Cloud) Chinese","XMP-xmpMM:HistoryAction","","converted","Added in converted"
"(A2u Cloud) Chinese","XMP-xmpMM:HistoryInstanceID","","uuid:ef493158-87d6-46a2-9825-7a2c7a287cc0","Added in converted"
"(A2u Cloud) Chinese","XMP-xmpMM:HistoryParameters","","converted to PDF/A-2u","Added in converted"
"(A2u Cloud) Chinese","XMP-xmpMM:HistorySoftwareAgent","","Preflight","Added in converted"
"(A2u Cloud) Chinese","XMP-xmpMM:HistoryWhen","","2026:02:26 16:16:40-05:00","Added in converted"
"(A2u Cloud) Chinese","XMP-xmpMM:InstanceID","","uuid:6f641dc9-40cd-482e-8fbc-71b1a19744e7","Added in converted"
"(A2u Cloud) Chinese","XMP-xmpMM:RenditionClass","","default","Added in converted"
"(A2u Cloud) Chinese","XMP-xmpMM:VersionID","","1","Added in converted"
"(A2u Cloud) Chinese","ï»¿SourceFile","C:/Users/lstuch1/Desktop/S3 Originals/(A2u Cloud) Chinese.doc","C:/Users/lstuch1/Desktop/S3 PDFs/(A2u Cloud) Chinese.pdf","Modified"
"(A2u Non-Cloud) Chinese","ExifTool:ExifToolVersion","13.4","13.4","Unchanged"
"(A2u Non-Cloud) Chinese","File:FileType","DOC","PDF","Modified"
"(A2u Non-Cloud) Chinese","File:FileTypeExtension","doc","pdf","Modified"
"(A2u Non-Cloud) Chinese","File:MIMEType","application/msword","application/pdf","Modified"
"(A2u Non-Cloud) Chinese","FlashPix:AppVersion","12.0","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Author","Wang","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:CharCountWithSpaces","4367","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Characters","3723","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:CodePage","Windows Traditional Chinese (Taiwan)","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:CompObjUserType","Microsoft Office Word 97-2003 Document","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:CompObjUserTypeLen","39","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Company","","","Modified"
"(A2u Non-Cloud) Chinese","FlashPix:CreateDate","2015:03:28 16:53:00","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:DocFlags","1Table, ExtChar, Far east","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:HeadingPairs","Title, 1","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:HyperlinksChanged","No","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Identification","Word 8.0","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Keywords","","","Modified"
"(A2u Non-Cloud) Chinese","FlashPix:LanguageCode","English (US)","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:LastModifiedBy","Wang","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:LastPrinted","2015:04:10 16:03:00","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Lines","31","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:LinksUpToDate","No","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:ModifyDate","2015:04:22 04:21:00","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Pages","6","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Paragraphs","8","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:RevisionNumber","126","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:ScaleCrop","No","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Security","","","Modified"
"(A2u Non-Cloud) Chinese","FlashPix:SharedDoc","No","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Software","Microsoft Office Word","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Subject","","","Modified"
"(A2u Non-Cloud) Chinese","FlashPix:System","Windows","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Template","Normal","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Title","","","Modified"
"(A2u Non-Cloud) Chinese","FlashPix:TitleOfParts","","","Modified"
"(A2u Non-Cloud) Chinese","FlashPix:TotalEditTime","3.5 hours","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Word97","No","","Removed from original"
"(A2u Non-Cloud) Chinese","FlashPix:Words","652","","Removed from original"
"(A2u Non-Cloud) Chinese","ICC-header:CMMFlags","","Not Embedded, Independent","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:ColorSpaceData","","GRAY","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:ConnectionSpaceIlluminant","","0.9642 1 0.82491","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:DeviceAttributes","","Reflective, Glossy, Positive, Color","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:DeviceManufacturer","","none","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:DeviceModel","","","Modified"
"(A2u Non-Cloud) Chinese","ICC-header:PrimaryPlatform","","Apple Computer Inc.","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:ProfileCMMType","","Adobe Systems Inc.","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:ProfileClass","","Output Device Profile","Added in converted"
