Drive,Title,DOC/X Size,A-2u Size,A-1b Size,,A-2u Multiplier,A-1b Multiplier
#3,Entrevista Perfeito,21,592,967,,28.19047619,46.04761905
#3,Escorre um chorume grosso de suas,13,73,448,,5.615384615,34.46153846
#3,ESPETO CORRID1,14,126,500,,9,35.71428571
#3,ESPETO CORRIDO,19,565,938,,29.73684211,49.36842105
#3,Eu fico muito quando alguem me,13,466,840,,35.84615385,64.61538462
#3,Eu fico muito feliz,21,609,982,,29,46.76190476
#3,Evandro Affonso Ferreira,15,94,468,,6.266666667,31.2
#3,EXISTE AMOR EM,15,482,855,,32.13333333,57
#3,Existem as caricaturas,23,135,510,,5.869565217,22.17391304
#3,Fama de encrenqueiro atrapal,14,476,850,,34,60.71428571
#3,Faz tres messes que,30,187,563,,6.233333333,18.76666667
#3,Faz um bom tempo,16,92,465,,5.75,29.0625
#3,Guia de amizade e leitura,20,578,951,,28.9,47.55
#3,Happy hours e unhas de acrilico,19,122,496,,6.421052632,26.10526316
#3,helena do feice,42,815,1190,,19.4047619,28.33333333
